Detecções:
Objeto: cadeira: 0.86, Posição: [342, 86, 480, 308]
Objeto: cadeira: 0.54, Posição: [470, 134, 556, 287]
Objeto: mesa_de_jantar: 0.33, Posição: [316, 5, 634, 303]
Objeto: cadeira: 0.89, Posição: [341, 88, 480, 308]
Objeto: cadeira: 0.53, Posição: [470, 134, 555, 286]
Objeto: mesa_de_jantar: 0.43, Posição: [316, 6, 637, 304]
Objeto: cadeira: 0.88, Posição: [342, 90, 480, 308]
Objeto: cadeira: 0.56, Posição: [470, 134, 556, 286]
Objeto: cadeira: 0.92, Posição: [342, 92, 479, 308]
Objeto: cadeira: 0.56, Posição: [470, 133, 556, 286]
Objeto: mesa_de_jantar: 0.28, Posição: [316, 6, 633, 303]
Objeto: cadeira: 0.88, Posição: [342, 88, 479, 308]
Objeto: cadeira: 0.57, Posição: [470, 133, 556, 286]
Objeto: mesa_de_jantar: 0.29, Posição: [316, 6, 632, 303]
Objeto: cadeira: 0.82, Posição: [342, 82, 480, 307]
Objeto: cadeira: 0.52, Posição: [470, 136, 555, 286]
Objeto: cadeira: 0.84, Posição: [342, 83, 480, 307]
Objeto: cadeira: 0.54, Posição: [470, 135, 555, 286]
Objeto: cadeira: 0.87, Posição: [342, 90, 480, 308]
Objeto: cadeira: 0.52, Posição: [469, 135, 556, 286]
Objeto: cadeira: 0.81, Posição: [342, 82, 480, 307]
Objeto: cadeira: 0.55, Posição: [470, 135, 556, 286]
Objeto: cadeira: 0.84, Posição: [343, 86, 480, 308]
Objeto: cadeira: 0.50, Posição: [470, 135, 556, 286]
Objeto: cadeira: 0.88, Posição: [343, 94, 480, 308]
Objeto: cadeira: 0.55, Posição: [470, 134, 556, 286]
Objeto: cadeira: 0.88, Posição: [342, 86, 480, 308]
Objeto: cadeira: 0.53, Posição: [470, 135, 556, 286]
Objeto: cadeira: 0.89, Posição: [341, 88, 480, 308]
Objeto: cadeira: 0.56, Posição: [470, 134, 556, 286]
Objeto: cadeira: 0.85, Posição: [341, 83, 480, 307]
Objeto: cadeira: 0.58, Posição: [470, 135, 556, 286]
Objeto: cadeira: 0.90, Posição: [341, 86, 480, 307]
Objeto: cadeira: 0.51, Posição: [470, 135, 555, 286]
Objeto: garrafa: 0.25, Posição: [19, 0, 351, 476]
Objeto: cadeira: 0.82, Posição: [342, 89, 481, 307]
Objeto: cadeira: 0.53, Posição: [470, 136, 556, 286]
Objeto: cadeira: 0.75, Posição: [343, 83, 481, 306]
Objeto: cadeira: 0.57, Posição: [470, 136, 555, 286]
Objeto: cadeira: 0.84, Posição: [341, 87, 481, 307]
Objeto: cadeira: 0.54, Posição: [470, 135, 556, 286]
Objeto: cadeira: 0.82, Posição: [341, 81, 481, 306]
Objeto: cadeira: 0.55, Posição: [469, 136, 556, 286]
Objeto: cadeira: 0.78, Posição: [341, 76, 481, 306]
Objeto: cadeira: 0.54, Posição: [470, 135, 555, 286]
Objeto: mesa_de_jantar: 0.29, Posição: [310, 5, 626, 305]
Objeto: cadeira: 0.76, Posição: [339, 79, 482, 306]
Objeto: cadeira: 0.56, Posição: [470, 135, 556, 286]
Objeto: cadeira: 0.84, Posição: [342, 84, 481, 307]
Objeto: cadeira: 0.55, Posição: [469, 135, 555, 286]
Objeto: cadeira: 0.82, Posição: [341, 86, 481, 307]
Objeto: cadeira: 0.61, Posição: [469, 135, 556, 286]
Objeto: cadeira: 0.80, Posição: [340, 78, 481, 306]
Objeto: cadeira: 0.61, Posição: [471, 135, 556, 286]
Objeto: cadeira: 0.87, Posição: [341, 78, 481, 306]
Objeto: cadeira: 0.59, Posição: [469, 134, 556, 286]
Objeto: mesa_de_jantar: 0.30, Posição: [314, 5, 624, 305]
Objeto: cadeira: 0.84, Posição: [341, 80, 481, 306]
Objeto: cadeira: 0.48, Posição: [470, 136, 556, 286]
Objeto: cadeira: 0.80, Posição: [341, 79, 480, 307]
Objeto: cadeira: 0.66, Posição: [470, 137, 556, 286]
Objeto: cadeira: 0.85, Posição: [341, 78, 481, 307]
Objeto: cadeira: 0.54, Posição: [470, 135, 556, 286]
Objeto: mesa_de_jantar: 0.34, Posição: [310, 5, 629, 305]
Objeto: garrafa: 0.27, Posição: [59, 9, 322, 477]
Objeto: cadeira: 0.83, Posição: [340, 82, 481, 306]
Objeto: cadeira: 0.57, Posição: [470, 135, 556, 286]
Objeto: cadeira: 0.77, Posição: [341, 76, 481, 306]
Objeto: cadeira: 0.51, Posição: [470, 135, 555, 286]
Objeto: cadeira: 0.79, Posição: [341, 73, 482, 305]
Objeto: cadeira: 0.56, Posição: [470, 135, 556, 286]
Objeto: cadeira: 0.84, Posição: [341, 82, 480, 307]
Objeto: cadeira: 0.58, Posição: [470, 135, 555, 286]
Objeto: mesa_de_jantar: 0.32, Posição: [313, 5, 629, 305]
Objeto: cadeira: 0.78, Posição: [340, 78, 481, 307]
Objeto: cadeira: 0.60, Posição: [470, 134, 556, 287]
Objeto: cadeira: 0.89, Posição: [342, 80, 481, 307]
Objeto: cadeira: 0.57, Posição: [470, 134, 556, 286]
Objeto: cadeira: 0.80, Posição: [341, 71, 480, 307]
Objeto: garrafa: 0.59, Posição: [70, 11, 308, 477]
Objeto: cadeira: 0.56, Posição: [470, 135, 556, 286]
Objeto: cadeira: 0.91, Posição: [340, 60, 482, 309]
Objeto: cadeira: 0.51, Posição: [470, 136, 556, 286]
